Offset,Order,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,text.stopped,instructions.stopped,test_routine.started,sound_stim.started,sound_stim.stopped,visual_stim.started,visual_stim.stopped,test_routine.stopped,respond_now.started,text_2.started,key_resp_2.started,respond_now.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.004028900002595037,0.010893300001043826,8.026501300017117,8.000307600013912,,,,,,,,,,,,,,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,0,0,0,6,8.026501300017117,,,,,,8.020181900006719,8.032533633326725,9.032443700009026,11.000195900007384,12.000154700013809,11.98463720001746,11.984685600007651,12.000154700013809,12.000154700013809,13.15912880000542,s,1.1466209999925923,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,0,1,1,2,13.169063300010748,,,,,,13.16102190001402,13.167379966678952,,14.16809540000395,15.168080400006147,15.153063300007489,15.153128700010711,15.168080400006147,15.168080400006147,16.90430729999207,v,1.7301030999806244,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,0,2,2,0,16.919135600008303,,,,,,16.90575340000214,16.918827066667532,17.91912480001338,16.919135600008303,17.91912480001338,17.910875500005204,17.91094190001604,17.91912480001338,17.91912480001338,18.604705600009765,b,0.6698281000135466,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,0,3,3,3,18.619799600011902,,,,,,18.60620549999294,20.62011806667239,21.62059199999203,18.619799600011902,19.619785000017146,21.61289960000431,21.612966200016672,21.62059199999203,21.62059199999203,22.489399200014304,v,0.8552448999835178,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,0,4,4,5,22.50433329999214,,,,,,22.490726099989843,25.5053462666731,,22.50433329999214,23.504587600007653,26.471235000004526,26.471309799992014,26.478352200007066,26.478352200007066,27.224755000002915,v,0.7333714000124019,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,0,5,5,4,27.239313300000504,,,,,,27.22617929999251,27.239485066678995,28.239700800011633,29.240559500001837,30.240437200001907,30.225003200001083,30.22503999999026,30.240437200001907,30.240437200001907,30.659448599995812,s,0.4125501000089571,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,0,6,6,1,30.674473399994895,,,,,,30.660883000004105,31.67479296666376,,30.674473399994895,31.674405900004786,32.64278280001599,32.64284960000077,32.64957239999785,32.64957239999785,33.244084500009194,v,0.5918861999816727,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,1,0,7,1,33.25877859999309,,,,,,33.245600399997784,34.25914246667914,35.25920760000008,33.25877859999309,34.258701500017196,35.245843500015326,35.24591260001762,35.25920760000008,35.25920760000008,35.74460510001518,v,0.4737162000092212,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,1,1,8,4,35.75925020000432,,,,,,35.74605350001366,35.75930506666579,,37.760540699993726,38.76052219999838,38.74533910001628,38.74541090001003,38.76052219999838,38.76052219999838,39.09641240001656,s,0.3330460000142921,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,1,2,9,3,39.11104720001458,,,,,,39.0978710000054,41.11132946666136,,39.11104720001458,40.11090669999248,42.06128210001043,42.06135709999944,42.06840290001128,42.06840290001128,42.380562500009546,v,0.30515379999997094,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,1,3,10,2,42.395118799991906,,,,,,42.381996600015555,42.39527906667014,,43.39600400000927,44.39601270001731,44.38090099999681,44.38097180001205,44.39601270001731,44.39601270001731,46.03200050001033,s,1.6204611999855842,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,1,4,11,6,46.04654670000309,,,,,,46.033469699992565,46.04657096666439,,49.04819480000879,50.04821909999009,50.03293770001619,50.033003399992594,50.04821909999009,50.04821909999009,50.51708089999738,s,0.46558469999581575,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,1,5,12,0,50.53205100001651,,,,,,50.518520500016166,50.53165526668114,,50.53205100001651,51.53200440001092,51.51700880000135,51.51707400000305,51.53200440001092,51.53200440001092,53.41828010001336,b,1.8834229000203777,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,1,6,13,5,53.43326839999645,,,,,,53.41973550000694,56.43394346666561,,53.43326839999645,54.43315769999754,57.42086089999066,57.420929400017485,57.4274798000115,57.4274798000115,58.169894099992234,v,0.7301756999804638,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,2,0,14,2,58.18455199999153,,,,,,58.171353400015505,58.1845848666601,59.18518590001622,59.18518590001622,60.18542970000999,60.170136400003685,60.17020200000843,60.18542970000999,60.18542970000999,60.78765549999662,s,0.5920962000091095,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,2,1,15,6,60.80222509999294,,,,,,60.78910480000195,60.80230876666998,,63.8038738000032,64.80377399999998,64.78862199999276,64.78868570001214,64.80377399999998,64.80377399999998,65.43951679999009,s,0.6297426999954041,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,2,2,16,5,65.45441040000878,,,,,,65.44096750000608,68.45510046667574,69.45567840000149,65.45441040000878,66.45434329999262,69.4407276000129,69.44079960000818,69.45567840000149,69.45567840000149,70.607989000011,v,1.1476276000030339,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,2,3,17,1,70.62305200000992,,,,,,70.60944729999756,71.62344336667253,72.63380710000638,70.62305200000992,71.62306770001305,72.62717630001134,72.62724400000297,72.63380710000638,72.63380710000638,73.22568150001462,v,0.5799737999914214,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,2,4,18,3,73.24076169999898,,,,,,73.22714140001335,75.24112006667225,76.24151310001616,73.24076169999898,74.24075590001303,76.23393280000892,76.2340097000124,76.24151310001616,76.24151310001616,76.71044029999757,v,0.4630524000094738,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,2,5,19,4,76.72495229999186,,,,,,76.7118802999903,76.72501156665773,77.73151129999314,78.72611540000071,79.7261633000162,79.71103569999104,79.71110519999638,79.7261633000162,79.7261633000162,80.27839859999949,s,0.5471633000124712,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,2,6,20,0,80.29347540001618,,,,,,80.27985530000296,80.29306396667768,,80.29347540001618,81.2934624000045,81.28415389999282,81.28421830001753,81.2934624000045,81.2934624000045,82.74603899999056,b,1.4384653999877628,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,3,0,21,4,82.76060549999238,,,,,,82.74749159999192,82.76069936665978,,84.76180480001494,85.76181429999997,85.74668310000561,85.74674750000122,85.76181429999997,85.76181429999997,86.33080960001098,s,0.5646733000176027,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,3,1,22,0,86.3457902999944,,,,,,86.33224570000311,86.34538426666792,,86.3457902999944,87.3457289999933,87.33067830000073,87.33074289999786,87.3457289999933,87.3457289999933,88.24848499998916,b,0.8996419999748468,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,3,2,23,6,88.26255680000759,,,,,,88.24993580000591,88.26270516668252,,91.26413339999272,92.26428629999282,92.2492421999923,92.24930769999628,92.26428629999282,92.26428629999282,92.59993309999118,s,0.3285437999875285,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,3,3,24,3,92.61481130000902,,,,,,92.60138279999956,94.61521296666275,,92.61481130000902,93.61475979999523,95.56240749999415,95.5624744000088,95.56911240000045,95.56911240000045,96.10118510000757,v,0.5195036999939475,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,3,4,25,5,96.11617570000817,,,,,,96.10262730001705,99.11689696667987,100.12355379998917,96.11617570000817,97.1160848000145,100.11642440001015,100.11649869999383,100.12355379998917,100.12355379998917,101.1029947999923,v,0.963392899982864,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,3,5,26,2,101.11766160000116,,,,,,101.10443700000178,101.11767066666313,102.12907359999372,102.12907359999372,103.13517009999487,103.12001179999788,103.12008260001312,103.13517009999487,103.13517009999487,103.82101410001633,s,0.6822273000143468,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,3,6,27,1,103.83583339999313,,,,,,103.82246409999789,104.8362675666615,105.83687830000417,103.83583339999313,104.83579400001327,105.8302229999972,105.83028960000956,105.83687830000417,105.83687830000417,106.58871589999762,s,0.7369648000167217,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,visual_first,4,0,28,5,106.60357530001784,,,,,,106.59015709999949,109.60423056668175,110.60476509999717,106.60357530001784,107.60346469999058,110.5940108000068,110.5940866000019,110.60476509999717,110.60476509999717,111.25695969999651,v,0.637135600001784,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
3,audio_first,4,1,29,6,111.27153279999038,,,,,,111.25845170000684,111.27161686667047,,114.27321929999744,115.27317840000615,115.25810209999327,115.2581724000047,115.27317840000615,115.27317840000615,115.64191289999872,s,0.3588957999891136,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,audio_first,4,2,30,2,115.65653700000257,,,,,,115.64336640000693,115.65661416665922,,116.65738119999878,117.65744380000979,117.64220940001542,117.64227260000189,117.65744380000979,117.65744380000979,118.8099266999925,s,1.1477584000094794,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,visual_first,4,3,31,3,118.8248772000079,,,,,,118.81136920000426,120.82518336666205,,118.8248772000079,119.82480390000273,121.79918430000544,121.79920680000214,121.80948930000886,121.80948930000886,122.51103860000148,v,0.6842022000055294,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
1,visual_first,4,4,32,1,122.52635770000052,,,,,,122.51251580001554,123.52665256665593,,122.52635770000052,123.52630820000195,124.51294179999968,124.51300070001162,124.5189987999911,124.5189987999911,125.5788615999918,s,1.051733999978751,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
0,simulataneous,4,5,33,0,125.59415730001638,,,,,,125.58009289999609,125.59380006668313,126.60116580000613,125.59415730001638,126.60116580000613,126.59455020001042,126.59461709999596,126.60116580000613,126.60116580000613,127.39669329999015,b,0.7881591000186745,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
2,audio_first,4,6,34,4,127.41112720000092,,,,,,127.39814999999362,127.41117666667948,,129.41232740000123,130.4122369000106,130.39723740000045,130.3973027000029,130.4122369000106,130.4122369000106,131.36457209999207,s,0.9405678999901284,None,p3,001,2024-12-06_18h35.11.337,soloproj6,2024.1.5,None,2024-12-06 18h35.23.637395 +0530,
